userid,createdAt,totalItems,totalPrice,cartStatus
94,2021-09-18:08:11:10,698,9126.34,delivered
95,2020-11-30:10:57:59,38,9339.39,delivered
96,2020-01-28:21:57:22,503,2038.96,cancelled
97,2022-02-14:21:04:46,761,850.91,cancelled
98,2020-02-12:14:58:04,979,140.7,delivered
99,2021-08-29:16:48:40,496,4426.22,shipped
100,2020-05-07:06:41:25,115,100.77,cancelled
101,2021-04-28:09:15:12,900,6765.86,pending
102,2021-02-09:09:25:57,478,6303.42,shipped
103,2022-12-13:16:50:49,587,1798.24,delivered
104,2021-07-16:17:11:12,505,6071.7,cancelled
105,2022-06-20:21:16:15,683,3792.81,pending
106,2020-05-02:00:18:30,772,8544.71,shipped
107,2021-02-16:10:15:05,746,5134.59,processing
108,2020-11-07:06:15:20,341,4781.42,processing
109,2021-11-01:05:04:16,750,1690.98,pending
110,2021-11-05:14:55:55,423,9371.81,shipped
111,2022-07-04:02:21:47,772,2697.64,delivered
112,2020-05-19:12:55:21,375,5336.67,cancelled
113,2021-06-09:20:20:04,986,6929.5,cancelled
114,2022-03-11:14:01:29,493,119.22,delivered
115,2021-04-24:19:54:45,918,3720.25,processing
116,2021-04-03:17:51:29,169,1777.38,delivered
117,2020-01-11:22:07:29,618,5962.92,cancelled
118,2020-05-01:18:15:33,442,9719.54,delivered
119,2022-12-20:05:21:54,508,3412.21,pending
120,2021-09-28:16:53:26,358,2320.41,delivered
121,2021-08-27:21:55:07,291,1743.54,delivered
122,2021-03-25:22:51:45,657,6656.46,processing
123,2021-11-23:14:00:07,699,8978.1,processing
124,2022-10-09:22:52:44,367,8986.57,shipped
125,2021-11-10:17:29:07,823,209.62,delivered
126,2022-08-29:12:55:54,790,4523.12,cancelled
127,2022-11-05:22:25:49,736,556.06,pending
128,2021-12-30:20:01:26,748,2327.19,cancelled
129,2020-11-09:15:56:12,68,9194.27,pending
130,2021-03-30:04:59:02,64,9431.51,processing
131,2021-12-20:03:58:58,996,1095.82,delivered
132,2021-05-20:13:26:03,464,5204.31,delivered
133,2022-10-27:15:47:19,171,6070.42,cancelled
134,2022-12-30:01:50:00,715,7072.02,delivered
135,2021-03-05:21:15:16,774,3179.24,shipped
136,2021-12-01:02:48:03,734,5486.54,shipped
137,2020-01-28:03:41:01,778,2026.99,shipped
138,2021-07-21:17:41:56,277,397.64,delivered
139,2022-11-07:21:00:35,577,5274.01,delivered
140,2021-10-11:02:27:45,221,3643.01,cancelled
141,2020-03-11:22:43:57,844,1415.73,shipped
142,2021-12-14:17:57:29,593,4298.25,shipped
143,2022-06-06:18:47:00,322,9383.42,cancelled
144,2022-03-06:01:06:16,156,4795.96,shipped
145,2021-04-02:21:29:51,888,7657.8,shipped
146,2022-12-03:14:21:41,637,8665.55,shipped
147,2022-01-14:16:13:46,830,4967.58,cancelled
148,2020-05-28:20:18:54,153,7153.71,processing
149,2020-02-14:17:49:46,217,2402.81,cancelled
150,2020-11-15:07:02:19,923,7244.37,cancelled
151,2020-12-31:13:42:15,892,5626.66,pending
152,2022-11-02:15:41:01,637,7840.16,cancelled
153,2021-07-28:17:17:27,69,6936.73,cancelled
154,2022-09-10:12:51:47,975,5521.35,delivered
155,2022-04-13:17:16:20,497,5195.09,shipped
156,2020-03-20:09:25:24,451,7792.22,delivered
157,2022-03-06:07:58:40,623,2132.31,delivered
158,2020-04-17:19:02:50,548,3852.65,cancelled
159,2021-04-04:11:41:29,47,9722.9,pending
160,2021-06-22:09:35:28,604,5391.57,processing
161,2021-08-13:12:17:34,789,711.13,cancelled
162,2021-07-29:11:10:36,765,9226.89,cancelled
163,2020-02-25:19:00:31,37,5502.67,processing
164,2020-11-29:18:03:36,970,9614.9,shipped
165,2021-04-22:03:17:07,470,4818.63,pending
166,2022-04-26:18:32:24,142,7776.1,shipped
167,2022-04-19:20:30:45,588,3738.94,processing
168,2021-03-29:07:43:38,459,9124.82,pending
169,2021-03-27:21:59:44,72,5732.78,shipped
170,2022-05-19:01:00:09,188,3182.53,shipped
171,2022-04-05:18:10:22,530,7396.85,cancelled
172,2020-11-21:09:56:38,880,1491.37,pending
173,2020-12-10:03:05:48,220,2768.47,pending
174,2020-07-11:20:10:24,585,2358.94,processing
175,2022-09-24:18:05:44,54,2115.68,cancelled
176,2021-05-01:08:27:45,844,7004.7,cancelled
177,2022-05-19:23:12:44,686,8200.43,processing
178,2021-04-09:09:27:11,864,850.25,shipped
179,2022-04-10:23:23:24,743,7410.43,pending
180,2022-01-16:08:12:09,419,8370.69,pending
181,2020-11-24:19:54:56,817,829.94,delivered
182,2021-12-28:19:51:23,587,9063.49,delivered
183,2020-01-17:21:05:38,788,9456.29,cancelled
184,2021-01-29:09:53:11,589,2196.16,pending
185,2022-04-08:07:30:40,981,5137.7,pending
186,2021-12-01:06:56:05,259,2672.52,processing
187,2021-06-29:10:55:19,243,4408.66,cancelled
188,2021-02-13:11:25:38,664,2714.21,pending
189,2022-07-27:12:35:12,602,4577.89,delivered
190,2022-04-06:02:52:06,278,8183.3,pending
191,2022-03-15:04:24:44,721,4271.36,pending
192,2022-10-01:02:08:48,712,8169.86,pending
193,2022-07-22:08:01:18,388,4559.47,pending
194,2022-08-18:11:11:21,157,8027.82,shipped
195,2022-12-02:23:40:11,166,1886.95,shipped
196,2022-03-12:00:02:57,996,4936.47,pending
197,2021-07-02:20:33:20,755,101.85,delivered
198,2020-12-05:12:16:57,366,1702.23,processing
199,2022-08-03:12:10:41,933,9278.75,delivered
200,2021-02-09:20:45:28,883,2899.78,cancelled
201,2020-01-05:07:07:07,514,7094.93,delivered
202,2022-05-03:17:07:25,492,7538.26,processing
203,2020-12-20:15:57:31,789,1068.09,shipped
204,2022-08-20:21:46:34,699,2465.79,cancelled
205,2020-05-31:08:16:09,833,1717.69,processing
206,2022-08-31:02:05:03,831,4037.07,pending
207,2020-05-18:15:44:28,19,3883.31,processing
208,2022-11-09:21:17:54,360,1434.57,shipped
209,2020-06-13:05:59:56,29,9018.79,processing
210,2020-04-30:18:28:17,858,4955.24,pending
211,2021-02-11:19:56:28,138,2098.83,delivered
212,2020-03-08:21:54:04,351,4261.58,delivered
213,2020-09-21:01:59:58,251,9658.23,shipped
214,2022-12-14:16:34:43,189,4483.51,processing
215,2020-04-28:08:54:42,599,4964.8,processing
216,2020-08-29:09:39:34,59,2909.94,processing
217,2021-02-27:02:57:35,101,9260.81,shipped
218,2022-06-12:10:16:45,954,1.31,pending
219,2020-12-06:22:14:54,245,2128.07,shipped
220,2022-10-04:22:36:24,671,2776.96,shipped
221,2022-10-24:11:42:40,527,505.05,shipped
222,2021-01-23:09:03:58,296,3425.13,shipped
223,2021-08-20:10:33:10,762,3390.77,cancelled
224,2020-03-14:10:54:00,196,8774.51,processing
225,2020-01-16:01:50:01,609,6791.64,delivered
226,2020-12-12:18:35:45,254,232.93,cancelled
227,2022-04-18:10:38:05,50,3751.79,cancelled
228,2020-07-13:02:24:09,164,8135.95,shipped
229,2022-07-05:21:57:06,382,9281.92,pending
230,2022-09-30:03:57:03,161,2729.5,pending
231,2021-01-01:05:40:02,594,4173.37,pending
232,2020-02-22:11:04:00,558,7234.74,pending
233,2020-02-18:12:33:25,318,4653.97,pending
234,2021-02-15:11:39:07,609,5198.95,processing
235,2022-01-16:12:41:29,511,2166.39,processing
236,2021-06-06:19:50:13,605,2572.29,pending
237,2021-06-19:19:25:30,843,1397.24,shipped
238,2022-10-14:14:39:17,544,6272.3,pending
239,2020-11-07:10:26:37,547,9750.35,pending
240,2020-10-30:05:22:50,55,7781.96,pending
241,2022-09-10:14:52:28,734,4341.03,delivered
242,2020-01-15:01:29:13,127,4381.85,cancelled
243,2020-01-16:00:10:34,355,2596.47,shipped
244,2020-01-30:11:01:52,988,292.25,processing
245,2020-03-22:14:08:07,804,289.88,shipped
246,2020-09-19:10:34:44,403,6628.71,pending
247,2021-04-01:10:05:24,102,2667.3,cancelled
248,2022-04-27:09:05:45,95,5617.56,processing
249,2020-05-22:19:29:44,105,5961.37,cancelled
250,2022-10-16:02:46:36,652,2877.6,pending
251,2021-12-07:08:46:25,175,4625.63,processing
252,2021-11-16:07:14:45,10,1346.92,processing
253,2022-10-01:15:36:19,971,6844.49,pending
254,2022-04-09:13:43:17,404,8322.03,delivered
255,2022-06-04:00:52:37,818,4891.84,pending
256,2020-08-11:06:03:29,720,3308.5,processing
257,2020-01-23:10:36:36,521,9083.92,cancelled
258,2021-07-09:07:41:47,100,867.05,processing
259,2020-05-12:10:28:20,473,2759.93,delivered
260,2021-02-28:23:58:45,674,3304.37,processing
261,2021-03-29:16:38:20,111,5911.25,pending
262,2022-04-02:19:27:13,668,1312.78,processing
263,2020-05-15:00:13:12,16,3567.85,cancelled
264,2022-01-14:06:17:08,793,7330.75,shipped
265,2022-08-17:14:30:49,901,3183.93,delivered
266,2020-07-23:03:41:52,284,8648.25,delivered
267,2021-04-08:23:42:43,935,6842.03,shipped
268,2022-12-08:00:03:38,71,1126.27,shipped
269,2020-03-11:16:37:49,242,79.96,pending
270,2020-07-14:14:45:50,443,3702.26,shipped
271,2020-03-09:16:30:08,955,9727.78,shipped
272,2020-04-24:20:44:27,217,5906.24,cancelled
273,2020-06-28:21:39:33,614,7967.51,processing
274,2022-12-28:07:20:33,381,4300.24,delivered
275,2022-07-28:11:46:56,498,6173.4,cancelled
276,2021-12-21:00:37:40,435,990.96,shipped
277,2020-04-16:20:14:49,941,7674.97,processing
278,2022-01-05:05:34:22,571,7603.79,pending
279,2020-08-06:01:18:27,134,8667.33,cancelled
280,2020-09-28:00:28:06,877,1494.54,processing
281,2021-04-04:18:54:57,810,5759.05,shipped
282,2020-06-22:05:57:26,309,8449.27,delivered
283,2021-12-13:03:00:55,109,5188.68,processing
284,2020-03-23:04:42:37,874,2653.0,processing
285,2020-06-25:01:21:19,183,8477.34,delivered
286,2022-02-26:13:11:53,26,3381.52,pending
287,2021-12-12:23:40:21,898,8714.93,shipped
288,2020-02-22:11:49:02,165,7345.37,pending
289,2020-09-21:08:26:27,106,4669.8,shipped
290,2022-01-29:13:31:16,246,4691.22,delivered
291,2021-12-03:03:44:20,130,8374.19,processing
292,2021-02-19:17:46:47,935,1339.16,cancelled
293,2020-05-22:10:27:08,82,8883.82,processing
294,2022-08-19:13:26:03,474,396.36,processing
295,2022-01-28:23:33:38,947,3934.16,pending
296,2020-01-13:20:16:24,673,1365.47,shipped
297,2020-08-14:13:26:05,987,8980.84,processing
298,2022-04-30:16:22:22,898,2917.13,shipped
299,2022-03-20:01:54:16,538,4970.62,processing
300,2022-07-17:00:00:34,113,8714.02,shipped
301,2022-09-07:14:04:34,604,5266.73,processing
302,2021-03-07:12:42:31,742,9141.29,processing
303,2022-03-30:17:33:09,41,2277.13,delivered
304,2022-05-30:11:57:43,572,9699.06,pending
305,2020-10-18:16:15:00,146,1750.38,cancelled
306,2021-03-08:05:22:37,864,9705.51,shipped
307,2022-12-17:07:34:17,789,3998.8,shipped
308,2021-03-23:00:47:26,696,4934.37,shipped
309,2021-01-29:00:20:11,525,6622.26,processing
310,2022-04-09:19:10:47,496,2537.77,pending
311,2022-05-26:21:47:32,439,7597.1,pending
312,2021-05-04:04:18:00,796,8184.65,processing
313,2021-12-29:18:34:51,159,4034.79,pending
314,2021-05-21:07:54:54,628,9672.18,processing
315,2021-01-29:15:40:57,776,3527.71,processing
316,2020-04-06:20:06:58,180,3875.04,pending
317,2021-08-09:05:16:57,890,6747.55,delivered
318,2021-01-03:12:51:44,642,1168.09,cancelled
319,2022-11-18:22:29:44,632,6971.0,processing
320,2020-07-05:09:24:51,203,1846.16,shipped
321,2020-08-01:02:23:22,245,6802.93,shipped
322,2020-11-27:12:12:53,829,2443.64,delivered
323,2022-06-07:18:17:29,749,9408.37,shipped
324,2022-10-31:09:22:41,595,969.66,shipped
325,2021-01-26:23:55:03,873,8258.42,processing
326,2021-01-23:05:37:47,772,7110.51,shipped
327,2021-02-07:12:59:17,288,6371.22,processing
328,2020-12-07:07:58:16,601,4833.05,delivered
329,2020-09-16:04:10:56,304,8409.55,pending
330,2021-01-07:04:15:36,581,8369.67,cancelled
331,2022-02-27:16:26:12,257,9436.52,delivered
332,2022-03-23:19:10:47,466,9863.2,shipped
333,2022-01-27:07:03:52,782,5201.28,shipped
334,2021-06-04:11:50:20,417,2782.87,pending
335,2022-03-21:21:07:29,683,2428.72,cancelled
336,2021-04-12:06:13:43,602,3883.75,pending
337,2021-09-13:01:09:53,72,6193.14,shipped
338,2020-10-07:01:21:06,777,902.0,shipped
339,2022-10-02:04:36:12,427,1917.06,cancelled
340,2020-09-07:15:45:37,695,199.25,cancelled
341,2022-10-20:02:57:34,760,1595.41,shipped
342,2021-05-28:09:06:49,449,929.3,cancelled
343,2022-07-13:02:45:30,837,3184.06,cancelled
344,2020-12-02:19:01:56,549,1208.87,delivered
345,2021-08-21:12:19:24,907,5138.23,delivered
346,2020-09-20:12:24:29,191,8118.3,delivered
347,2020-11-12:17:39:15,267,5572.58,delivered
348,2022-11-01:01:56:32,325,4226.35,shipped
349,2022-06-09:06:21:38,462,9412.1,delivered
350,2022-01-15:22:34:27,263,3873.96,delivered
351,2021-11-29:03:46:08,214,9247.47,shipped
352,2020-06-18:19:44:32,135,3457.43,processing
353,2021-09-07:03:42:29,626,1994.62,processing
354,2020-09-12:17:40:27,743,9765.94,cancelled
355,2022-05-10:12:12:33,846,2444.78,delivered
356,2020-04-02:03:11:45,737,6752.82,processing
357,2021-01-25:07:29:49,867,1924.97,delivered
358,2022-04-01:17:26:06,925,6851.36,shipped
359,2021-12-25:23:10:56,653,3024.02,delivered
360,2021-11-08:03:53:39,50,5653.32,pending
361,2022-06-17:16:08:02,13,6449.87,pending
362,2020-04-02:20:35:13,179,1394.36,delivered
363,2021-01-31:04:39:27,995,1253.16,cancelled
364,2020-10-07:03:01:09,283,6504.74,processing
365,2020-03-28:21:22:35,501,1405.45,cancelled
366,2021-12-28:17:01:51,56,558.0,shipped
367,2021-12-03:01:19:47,392,2955.08,pending
368,2022-01-10:23:30:05,165,8504.76,delivered
369,2020-07-01:15:02:41,878,5259.16,cancelled
370,2020-04-17:17:31:21,740,8721.59,delivered
371,2020-11-23:04:33:04,999,9626.53,shipped
372,2021-03-02:18:37:37,39,2686.98,delivered
373,2020-10-21:09:51:19,777,7768.96,cancelled
374,2021-04-21:20:49:16,667,8553.22,shipped
375,2022-01-10:18:40:54,127,5544.55,pending
376,2021-05-02:23:03:26,716,6387.74,cancelled
377,2022-06-05:18:13:43,196,2792.12,processing
378,2021-12-17:04:13:22,232,2756.26,cancelled
379,2022-02-04:15:15:59,121,8021.79,shipped
380,2022-08-05:07:14:00,580,3025.76,delivered
381,2021-02-18:08:49:37,112,3202.06,processing
382,2020-09-04:06:02:01,307,6848.33,processing
383,2020-10-25:12:03:06,11,2827.78,processing
384,2022-10-19:09:41:09,322,3923.53,delivered
385,2021-12-17:12:38:26,612,6196.71,processing
386,2022-09-29:10:37:52,559,6360.26,shipped
387,2021-03-26:08:57:20,766,2833.17,processing
388,2021-07-19:20:27:36,387,8123.44,shipped
389,2022-05-28:10:18:31,416,4967.66,shipped
390,2020-02-10:16:10:50,18,3909.27,shipped
391,2022-11-05:00:04:52,883,2816.52,delivered
392,2020-09-19:13:17:45,78,2396.42,cancelled
393,2020-08-03:05:13:39,264,5203.81,processing
394,2021-03-05:21:06:16,950,6608.75,shipped
395,2021-12-08:14:22:40,210,9204.81,cancelled
396,2022-03-11:05:57:46,452,1610.6,delivered
397,2020-11-20:21:26:49,81,5894.95,processing
398,2022-01-22:13:30:41,920,8516.67,cancelled
399,2022-10-03:19:56:48,612,8466.33,shipped
400,2020-07-29:14:01:34,628,9612.57,shipped
401,2021-10-17:01:09:22,984,9313.66,pending
402,2021-06-09:08:26:27,352,2713.01,delivered
403,2020-12-27:10:11:11,176,49.09,pending
404,2021-05-13:20:19:46,910,716.06,shipped
405,2020-05-06:22:22:45,707,807.52,delivered
406,2021-02-25:01:36:40,936,5433.15,pending
407,2022-08-28:06:44:12,996,5477.59,shipped
408,2021-10-07:18:28:42,492,4182.0,cancelled
409,2022-04-13:19:18:03,892,7969.1,processing
410,2022-04-09:02:07:45,151,5962.4,pending
411,2020-12-17:16:31:14,346,1351.73,pending
412,2021-11-21:04:54:00,840,6000.83,cancelled
413,2021-07-24:02:09:58,742,2979.32,pending
414,2021-03-14:17:27:05,343,4726.84,delivered
415,2021-09-02:05:28:29,923,3686.76,cancelled
416,2021-04-17:13:40:08,588,4190.85,shipped
417,2022-06-19:12:14:50,751,9546.29,processing
418,2021-04-02:07:20:00,840,9256.78,cancelled
419,2021-04-26:05:09:45,743,3437.03,cancelled
420,2022-08-06:02:26:24,576,2827.03,cancelled
421,2020-03-01:13:44:16,720,6473.54,pending
422,2021-11-01:22:51:45,768,2392.06,delivered
423,2020-01-20:17:06:35,74,5592.16,delivered
424,2021-12-26:04:20:20,544,3345.9,processing
425,2022-12-21:21:05:05,712,6844.54,processing
426,2020-03-05:08:56:40,455,5653.58,processing
427,2022-06-24:00:13:40,56,5992.88,processing
428,2020-05-16:12:13:51,485,1906.89,processing
429,2020-08-21:04:12:44,610,1473.38,delivered
430,2020-04-16:06:44:02,279,8670.9,cancelled
431,2021-12-04:00:25:42,629,2586.48,shipped
432,2022-03-01:14:38:38,704,1685.16,cancelled
433,2022-03-10:11:53:24,114,3575.41,shipped
434,2020-12-01:01:13:04,265,4640.28,processing
435,2021-01-01:06:29:23,627,1108.33,shipped
436,2021-01-19:19:41:22,185,9446.72,delivered
437,2021-11-06:12:07:20,428,3008.68,cancelled
438,2021-11-15:05:39:05,329,6466.76,cancelled
439,2022-08-11:02:04:57,719,3375.37,delivered
440,2020-08-01:13:01:06,325,3605.35,cancelled
441,2021-03-23:06:34:14,614,2810.8,shipped
442,2021-05-13:14:26:54,113,1498.42,shipped
443,2020-08-12:05:12:43,747,532.38,shipped
444,2022-01-01:11:26:21,548,9544.07,processing
445,2021-06-21:02:52:55,616,8281.68,delivered
446,2022-01-15:08:33:11,331,3035.07,shipped
447,2021-05-10:05:04:09,973,9193.91,delivered
448,2022-02-22:07:16:25,62,1754.82,processing
449,2022-03-16:06:42:26,368,6617.44,pending
450,2022-12-07:05:28:15,785,7910.58,processing
451,2021-09-12:18:41:20,560,6482.84,pending
452,2022-11-26:04:56:48,892,7561.91,cancelled
453,2022-03-11:04:39:41,860,7903.04,cancelled
454,2021-07-24:08:24:09,540,3420.39,delivered
455,2022-01-13:15:11:40,214,9367.23,delivered
456,2020-11-28:06:50:54,588,9155.94,processing
457,2020-07-04:18:30:06,674,6266.26,processing
458,2020-11-13:11:14:06,742,5916.96,processing
459,2022-05-17:01:00:48,348,1591.33,delivered
460,2022-04-21:14:58:42,924,6221.01,pending
461,2020-11-18:03:08:04,409,6074.66,shipped
462,2022-03-03:16:36:22,532,3704.77,delivered
463,2022-09-03:10:20:28,895,3822.6,shipped
464,2021-12-17:18:42:09,511,8694.37,cancelled
465,2022-03-19:09:06:13,441,6893.21,delivered
466,2020-05-10:10:54:38,662,414.72,shipped
467,2021-11-30:20:40:24,418,5022.41,processing
468,2021-12-22:03:56:52,595,745.39,cancelled
469,2021-11-09:20:50:26,717,1021.26,pending
470,2020-05-17:13:00:13,457,4770.84,processing
471,2020-01-12:05:42:05,539,3230.73,shipped
472,2021-11-09:02:51:57,630,1817.3,delivered
473,2022-12-03:07:18:04,318,4222.88,shipped
474,2022-12-29:14:47:15,139,5599.74,processing
475,2022-02-21:07:01:21,890,2607.96,delivered
476,2021-12-10:00:43:28,511,1554.16,pending
477,2020-12-24:16:01:21,622,4713.24,delivered
478,2020-06-12:06:50:59,821,5559.53,pending
479,2020-02-10:03:42:07,446,3489.04,delivered
480,2020-03-25:07:50:09,243,236.01,delivered
481,2020-09-04:13:35:55,108,2040.11,pending
482,2020-03-31:06:38:36,713,1126.92,pending
483,2020-10-14:21:05:53,579,7639.58,pending
484,2022-07-14:21:51:19,930,5052.39,pending
485,2021-07-11:01:48:07,648,9231.77,delivered
486,2020-12-13:08:49:33,302,1528.21,pending
487,2022-11-21:08:14:49,143,2002.64,processing
488,2022-02-22:01:40:30,855,7144.02,cancelled
489,2021-07-27:05:19:46,997,1041.55,cancelled
490,2022-08-29:14:10:00,385,4640.28,processing
491,2022-10-04:22:21:26,380,5192.21,shipped
492,2021-08-27:00:25:11,1000,9441.32,processing
493,2022-05-07:23:03:13,21,5957.51,pending
494,2022-10-07:04:29:05,873,2719.36,cancelled
495,2021-06-10:23:53:04,776,731.9,pending
496,2021-10-27:18:48:28,220,7143.68,processing
497,2022-07-13:18:25:25,477,4047.34,pending
498,2020-03-19:10:17:50,183,6124.1,shipped
499,2021-10-19:01:54:04,612,8733.62,pending
500,2020-05-06:00:05:59,402,9689.84,pending
501,2020-05-25:22:11:48,170,9273.2,pending
502,2021-06-15:15:50:25,591,9809.32,cancelled
503,2022-08-16:23:40:58,861,8299.47,delivered
504,2021-05-04:04:45:31,3,8467.69,processing
505,2022-10-22:17:17:29,846,7744.6,pending
506,2022-05-15:06:12:44,692,4094.39,shipped
507,2022-07-11:20:25:38,925,5801.11,delivered
508,2021-01-08:03:59:32,342,3172.09,pending
509,2020-05-26:09:10:09,666,3159.1,processing
510,2022-01-04:12:34:46,47,7952.77,cancelled
511,2020-03-27:08:48:13,601,7332.47,cancelled
512,2020-06-24:20:19:30,574,1974.19,delivered
513,2020-06-27:16:28:53,153,463.18,pending
514,2020-03-29:22:29:01,82,4956.12,shipped
515,2022-08-18:13:24:30,616,6933.69,pending
516,2020-03-16:19:24:21,920,42.16,delivered
517,2022-11-28:23:19:56,867,6873.08,pending
518,2021-08-30:05:11:17,264,2054.12,cancelled
519,2022-12-03:01:07:45,989,8543.54,delivered
520,2020-06-08:15:50:54,822,6187.27,delivered
521,2022-02-14:07:23:33,314,9013.83,delivered
522,2021-11-07:18:33:27,106,39.36,processing
523,2021-04-04:06:59:28,960,7891.02,processing
524,2020-05-25:00:14:34,92,9136.79,cancelled
525,2021-10-20:03:41:39,707,4259.37,cancelled
526,2021-05-13:22:23:54,987,5243.74,cancelled
527,2022-10-20:23:15:01,994,3495.0,pending
528,2022-02-09:13:03:12,486,4606.98,cancelled
529,2022-05-30:20:47:44,371,5997.35,processing
530,2021-09-28:14:01:19,58,796.39,shipped
531,2021-02-25:10:24:13,435,8825.9,shipped
532,2020-03-14:06:48:48,391,5928.79,shipped
533,2022-04-04:23:29:55,527,1696.53,cancelled
534,2021-12-14:20:27:19,756,8972.29,delivered
535,2021-04-11:22:48:49,702,4914.95,delivered
536,2022-07-11:15:40:17,607,9330.01,delivered
537,2020-08-15:02:01:59,828,3107.19,cancelled
538,2021-12-19:11:50:32,856,8533.67,cancelled
539,2020-04-13:10:38:34,204,5198.59,pending
540,2021-07-27:18:16:18,207,5870.58,cancelled
541,2022-03-11:14:26:47,730,4898.12,processing
542,2021-08-17:21:15:15,606,4055.66,cancelled
