code,description,startDate,endDate,promotionDiscount
0HSP397V,Free shipping offer,10-12-2020,28-01-2021,0.2
5IAZJ0DH,Seasonal special,12-02-2023,30-03-2023,0.2
I9C52PUU,First-order discount,10-05-2021,20-06-2021,0.1
43Q272WO,Members-only offer,10-09-2024,27-10-2024,0.8
JTEGPGGN,Buy One Get One,04-03-2025,15-04-2025,0.2
2KO0XE2D,First-order discount,21-01-2024,13-03-2024,0.7
8XFSVOUR,Clearance blowout,10-07-2024,17-08-2024,0.3
NPMJND0M,Buy One Get One,21-09-2024,18-10-2024,0.2
C0YJIY33,Clearance blowout,28-06-2020,13-07-2020,0.7
FURG2QWQ,Flash sale items,24-02-2022,05-04-2022,0.4
0JAEX88U,Members-only offer,24-11-2023,30-11-2023,0.5
D4SAL9ZM,Weekend promotion,14-10-2020,18-11-2020,0.6
FSFJ0I36,Buy One Get One,16-05-2024,08-07-2024,0.4
A9XGIL81,Clearance blowout,19-12-2023,28-12-2023,0.6
TIIODAHO,Clearance blowout,02-11-2024,26-11-2024,0.4
8XFKWCE5,Friend referral bonus,22-08-2024,02-10-2024,0.2
ST19URR5,Clearance blowout,15-01-2022,25-02-2022,0.5
IGAFHKEQ,Limited-time deal,09-03-2025,14-04-2025,0.3
LI5OJ86N,Members-only offer,06-07-2020,11-08-2020,0.3
6WP0UWEN,Weekend promotion,20-10-2021,05-12-2021,0.2
QJWU9CS8,First-order discount,26-04-2023,15-05-2023,0.6
MHFBWRYI,Friend referral bonus,15-05-2023,01-07-2023,0.6
2ZHSLD7L,Flash sale items,17-04-2020,16-06-2020,0.4
JE1DFPKP,Limited-time deal,19-04-2023,03-05-2023,0.5
ANQGJTN3,Weekend promotion,13-05-2023,09-06-2023,0.4
FXDAT3C4,Weekend promotion,11-01-2021,06-03-2021,0.6
1BBJIMCU,Free shipping offer,26-10-2023,10-11-2023,0.5
729AOG9F,Seasonal special,24-02-2023,15-03-2023,0.7
6NBFU2E7,Limited-time deal,08-09-2022,30-09-2022,0.4
79NBHUXX,Limited-time deal,04-11-2022,27-12-2022,0.7
XNNEP6UY,Buy One Get One,16-01-2021,25-01-2021,0.2
T53NYHG9,Members-only offer,07-07-2024,15-07-2024,0.3
XW6YUY9E,Clearance blowout,11-04-2024,08-05-2024,0.4
E37U4EL1,Free shipping offer,26-09-2021,20-11-2021,0.4
A52PK981,Limited-time deal,19-07-2020,11-09-2020,0.1
RL0D5QZ3,First-order discount,27-03-2023,03-05-2023,0.4
UKV8EP9A,Clearance blowout,02-10-2020,07-10-2020,0.4
ZZMOU883,Seasonal special,17-10-2024,28-10-2024,0.2
U7OO12WU,Buy One Get One,23-10-2023,31-10-2023,0.1
X6F3U172,Free shipping offer,20-04-2023,13-05-2023,0.2
BC544E96,Members-only offer,04-01-2022,05-02-2022,0.8
7VINR34Z,Limited-time deal,26-06-2023,24-07-2023,0.3
F5AE4DF0,Limited-time deal,22-05-2024,23-06-2024,0.7
4RPDBDSZ,First-order discount,06-10-2022,20-10-2022,0.6
CGYR5W0K,Flash sale items,23-02-2025,17-03-2025,0.7
TBV774YZ,Flash sale items,13-08-2024,15-09-2024,0.4
UN4G0E0K,Seasonal special,03-12-2023,17-01-2024,0.4
V1VEQNGU,Members-only offer,04-06-2024,22-06-2024,0.7
GI995A3T,Flash sale items,03-12-2021,26-01-2022,0.1
TY4517PV,Clearance blowout,30-05-2020,18-06-2020,0.6
WFL8RZHY,Members-only offer,14-01-2025,23-01-2025,0.2
UEX57779,Members-only offer,01-08-2022,12-09-2022,0.4
8MU392OY,Members-only offer,31-03-2023,15-04-2023,0.2
QQJ40Y3F,Members-only offer,19-07-2024,03-09-2024,0.5
59DXMXGS,Seasonal special,25-07-2022,27-08-2022,0.6
RLF036QW,Limited-time deal,02-10-2023,13-10-2023,0.4
U5EH3W12,Buy One Get One,25-12-2020,07-02-2021,0.1
GM68XK47,Members-only offer,21-09-2022,25-10-2022,0.7
H6DRUQU5,Clearance blowout,03-06-2022,30-06-2022,0.8
VN4Y77UZ,Limited-time deal,08-08-2020,06-09-2020,0.3
T71MWL08,Flash sale items,15-12-2023,06-01-2024,0.5
KEQP500W,Seasonal special,17-10-2023,02-11-2023,0.3
UQ77EKOF,Clearance blowout,20-09-2024,15-11-2024,0.7
RHIC010S,Seasonal special,17-04-2024,06-05-2024,0.4
5H1JDM5V,Clearance blowout,25-02-2024,02-04-2024,0.4
NFX1XGN7,Friend referral bonus,03-05-2020,03-06-2020,0.6
XGQ25LG5,First-order discount,19-12-2023,14-02-2024,0.6
8RNHKYB5,Weekend promotion,01-01-2025,14-01-2025,0.2
SI7I96QH,Flash sale items,18-06-2023,15-07-2023,0.5
O5VZH13D,Buy One Get One,20-08-2022,15-09-2022,0.4
6L7HN0D8,Flash sale items,28-01-2022,14-03-2022,0.6
4EBXKUTI,Seasonal special,15-03-2021,26-03-2021,0.2
QT0G0CWJ,Seasonal special,01-02-2023,11-03-2023,0.6
1G2ZX96F,Buy One Get One,07-11-2023,02-01-2024,0.8
65RMMAMW,First-order discount,23-05-2021,31-05-2021,0.1
MG52VAEO,Weekend promotion,31-01-2023,06-02-2023,0.3
V5YOIQ46,Friend referral bonus,08-04-2022,09-04-2022,0.6
T8RPQHAF,Free shipping offer,13-08-2023,09-10-2023,0.6
KER9LZ8J,Friend referral bonus,17-09-2022,19-10-2022,0.4
UF27RRYB,Free shipping offer,09-01-2025,26-01-2025,0.8
MU4B68E0,Friend referral bonus,28-03-2024,12-04-2024,0.8
3CUNS89C,Friend referral bonus,10-11-2021,23-12-2021,0.3
YD1DK0QL,Flash sale items,04-06-2020,19-06-2020,0.7
VHA9B6ZZ,Friend referral bonus,17-12-2020,14-02-2021,0.8
KBVEMI5W,Weekend promotion,17-07-2024,09-09-2024,0.5
0DOLQ51I,Flash sale items,09-05-2023,22-05-2023,0.5
JDHREAA5,Buy One Get One,10-01-2024,16-02-2024,0.4
XZ91VUVH,Flash sale items,05-02-2021,15-03-2021,0.3
04WHJUK6,Limited-time deal,13-06-2021,27-07-2021,0.7
QDYSY3JB,First-order discount,14-04-2021,20-05-2021,0.4
A02Q1XLH,Flash sale items,24-02-2022,20-04-2022,0.3
80D8PAME,Flash sale items,24-02-2022,23-04-2022,0.5
5S33I0OR,Free shipping offer,11-08-2024,12-08-2024,0.8
R1G3LR3V,Members-only offer,25-11-2023,02-12-2023,0.6
RN540JK5,Limited-time deal,14-08-2024,09-09-2024,0.5
8TEZ5Z9I,First-order discount,01-07-2021,08-08-2021,0.3
H3M2BJ0B,Free shipping offer,05-10-2023,24-10-2023,0.4
G1V8COKE,Weekend promotion,03-11-2022,17-11-2022,0.4
26D0OZWR,Weekend promotion,22-02-2025,13-04-2025,0.3
RCMG0DYT,First-order discount,08-10-2020,19-10-2020,0.3
KPPUTDLY,Limited-time deal,14-07-2023,16-08-2023,0.4
QQH00ACQ,Members-only offer,23-04-2020,20-05-2020,0.7
9888R1Z1,Buy One Get One,21-09-2020,27-09-2020,0.3
OGT6KDCP,Free shipping offer,16-08-2022,30-09-2022,0.2
SID4ID5Q,Seasonal special,11-11-2023,29-11-2023,0.3
KHESTUVX,Weekend promotion,16-07-2022,03-09-2022,0.7
30AJ6OB3,Limited-time deal,28-08-2023,10-09-2023,0.4
65PZFB2J,Limited-time deal,12-09-2023,29-10-2023,0.4
O9E7T29V,First-order discount,20-05-2021,23-05-2021,0.4
OGGRJZZT,Limited-time deal,30-04-2024,28-06-2024,0.2
8OMM96VB,Buy One Get One,07-05-2022,26-06-2022,0.5
GJEA4Q6A,Flash sale items,12-10-2024,14-10-2024,0.5
B7ZGUL5B,Weekend promotion,01-02-2024,26-03-2024,0.6
Y9L0UGSV,Buy One Get One,17-12-2024,15-02-2025,0.3
X29E6VOI,Seasonal special,06-12-2021,21-12-2021,0.4
4L3LY6QM,Seasonal special,01-08-2024,25-08-2024,0.7
SHSCES3W,Flash sale items,18-09-2023,13-11-2023,0.8
MNHITSYG,Flash sale items,08-09-2021,06-11-2021,0.4
1C4DY88I,Limited-time deal,13-01-2021,11-03-2021,0.6
6I0VTLHS,Friend referral bonus,24-10-2022,01-12-2022,0.1
Z8DXLE8C,First-order discount,02-03-2025,14-03-2025,0.7
538CEXIW,Flash sale items,20-05-2020,24-05-2020,0.4
LH0QPCZ0,Free shipping offer,09-05-2022,24-06-2022,0.2
VRX0B7TT,Weekend promotion,20-09-2020,01-10-2020,0.3
1G4FBJBG,Members-only offer,05-10-2020,21-11-2020,0.7
GMNHRW9W,Members-only offer,04-09-2020,04-10-2020,0.3
40XLJCBR,Members-only offer,19-11-2021,26-11-2021,0.5
T3453X14,First-order discount,25-11-2023,24-12-2023,0.3
HQPW0H93,Flash sale items,27-12-2022,20-01-2023,0.7
JS2H5BW7,Buy One Get One,07-01-2021,24-02-2021,0.3
6DBZ7ILW,First-order discount,09-04-2021,29-05-2021,0.4
MWBYU33Q,Friend referral bonus,05-02-2023,21-02-2023,0.3
N1IG5LLP,Limited-time deal,24-03-2023,26-04-2023,0.2
15L5EBAS,Flash sale items,06-08-2023,26-08-2023,0.4
G8NUB23G,First-order discount,12-10-2020,03-12-2020,0.6
QSP7ZIZA,Limited-time deal,23-11-2024,18-01-2025,0.7
HUFX2J3F,Flash sale items,30-12-2024,17-01-2025,0.5
G6V9421K,Clearance blowout,15-06-2021,23-06-2021,0.2
R30O3HME,Flash sale items,07-09-2024,04-10-2024,0.2
KMY5IBCY,Weekend promotion,17-01-2025,22-02-2025,0.7
04WYRT9H,Buy One Get One,05-05-2021,31-05-2021,0.2
1EUGFPTO,Clearance blowout,14-03-2023,19-04-2023,0.6
6QC5W1H4,Friend referral bonus,19-07-2021,16-09-2021,0.8
QK9EHGZ4,Weekend promotion,09-05-2023,12-05-2023,0.8
0LW46MC5,Clearance blowout,11-04-2020,13-04-2020,0.7
YPCIN15A,Friend referral bonus,17-08-2023,28-09-2023,0.4
HNGNV9W5,Free shipping offer,26-04-2024,22-06-2024,0.7
COHS3K0Z,Limited-time deal,06-10-2024,18-11-2024,0.6
M73UK8UY,Seasonal special,14-05-2020,14-06-2020,0.4
X1EPOC8E,First-order discount,05-10-2021,29-10-2021,0.5
GM5F3QNP,Free shipping offer,03-07-2021,13-08-2021,0.2
JF1MO9IL,Flash sale items,17-09-2020,10-10-2020,0.4
R7E55VIC,Clearance blowout,13-06-2022,10-08-2022,0.1
9D47O8EO,Weekend promotion,19-06-2024,21-07-2024,0.4
ZCQUE3T8,Seasonal special,21-07-2022,04-09-2022,0.8
WN3X1KQU,Free shipping offer,17-11-2022,27-12-2022,0.7
FCLLFMP1,Seasonal special,17-09-2022,16-11-2022,0.4
H2UOGO45,Members-only offer,01-05-2022,02-05-2022,0.7
ER81P4HO,First-order discount,03-12-2022,25-12-2022,0.3
GHXXZS5V,Members-only offer,08-06-2020,21-06-2020,0.7
NXN2ZZU3,Buy One Get One,20-12-2023,31-12-2023,0.7
E5TFQ7R5,Members-only offer,30-08-2024,11-09-2024,0.3
ZJ8GLDCV,Weekend promotion,06-03-2022,19-04-2022,0.2
72N0GGOF,Weekend promotion,19-04-2024,01-06-2024,0.5
96SNU2SE,First-order discount,26-01-2024,12-03-2024,0.7
NUC3YUKO,Limited-time deal,15-11-2024,26-11-2024,0.7
UCB7Q9TG,Buy One Get One,28-09-2023,31-10-2023,0.5
RBCKLV54,Clearance blowout,20-01-2025,09-03-2025,0.5
0HRI2U9B,Members-only offer,08-04-2021,12-05-2021,0.3
4ERTWOGG,Free shipping offer,13-07-2024,05-08-2024,0.6
VFMNSTZJ,Seasonal special,22-02-2021,12-04-2021,0.6
OVUYZ97A,Flash sale items,29-03-2025,30-03-2025,0.6
91S2OEI6,Seasonal special,18-06-2020,13-07-2020,0.6
0OQ26AVK,Limited-time deal,05-01-2025,11-01-2025,0.4
ZU673RGX,Limited-time deal,06-01-2023,06-02-2023,0.2
2UTLW0RC,First-order discount,24-07-2022,13-09-2022,0.6
LYES6RI8,First-order discount,09-01-2021,23-02-2021,0.2
5U3E453P,Friend referral bonus,30-04-2022,22-05-2022,0.2
FGM9NI82,Weekend promotion,18-10-2024,31-10-2024,0.2
I2ULY2DG,Limited-time deal,23-06-2024,06-07-2024,0.6
9ECYD3ZE,Seasonal special,24-08-2020,06-10-2020,0.6
B8RAKCKW,Seasonal special,23-04-2020,03-06-2020,0.5
SZLAEM8E,Seasonal special,03-12-2022,16-01-2023,0.2
TWUOV3XG,Flash sale items,03-11-2022,22-11-2022,0.7
RIQ2RMGV,First-order discount,23-02-2023,13-04-2023,0.4
E085IOGY,Flash sale items,02-11-2022,01-01-2023,0.7
VQ3EFG3H,Clearance blowout,18-04-2020,13-06-2020,0.7
9OIPMZJP,Free shipping offer,22-12-2024,09-01-2025,0.6
S9TKDODN,Flash sale items,15-10-2021,29-10-2021,0.1
93DRGTEY,Buy One Get One,30-03-2022,10-04-2022,0.5
5O2BP733,Limited-time deal,12-10-2020,28-10-2020,0.6
N2XJKP7P,First-order discount,16-04-2020,22-04-2020,0.3
WHFZ8HFY,Buy One Get One,06-06-2022,16-07-2022,0.6
K4DASBO1,Buy One Get One,01-05-2024,26-06-2024,0.6
Y5QNZ074,Free shipping offer,17-10-2023,19-11-2023,0.7
L0YKLC6Q,Free shipping offer,09-02-2024,10-02-2024,0.7
6E0GWSP9,Flash sale items,09-01-2024,07-02-2024,0.7
N1X92PN8,Weekend promotion,24-04-2024,30-05-2024,0.8
92CH5EPK,Friend referral bonus,19-01-2023,03-03-2023,0.5
8RU3EL5T,Members-only offer,10-10-2021,18-10-2021,0.4
V5QT86FZ,Flash sale items,09-01-2025,21-01-2025,0.2
EVVEC1H9,First-order discount,10-11-2024,08-01-2025,0.3
VV8DUBAA,Clearance blowout,23-01-2023,06-03-2023,0.5
PF97NE5H,First-order discount,30-07-2020,05-08-2020,0.4
G8Y1GA30,Flash sale items,04-04-2020,05-04-2020,0.6
NQ74PZWS,First-order discount,23-06-2023,30-07-2023,0.5
J2PGTWG6,Free shipping offer,21-04-2021,11-05-2021,0.4
D0M5CRHS,Friend referral bonus,18-02-2025,23-02-2025,0.2
ENW0ZJ58,Weekend promotion,26-05-2024,20-06-2024,0.3
JPC2A68N,Members-only offer,07-06-2023,27-06-2023,0.5
6WHGGD5N,Members-only offer,25-01-2022,11-02-2022,0.7
MAIN45XL,Members-only offer,04-12-2022,10-12-2022,0.4
74TKM3KM,Buy One Get One,27-03-2025,12-04-2025,0.4
C6S53IH8,Seasonal special,12-10-2021,03-12-2021,0.5
FZOBDQ4I,Free shipping offer,19-06-2020,07-07-2020,0.5
E3F8VIMW,Weekend promotion,18-02-2023,07-04-2023,0.8
EACW1I7M,Seasonal special,02-12-2020,18-01-2021,0.7
RD9JDLQQ,Friend referral bonus,20-02-2021,09-03-2021,0.2
6U5IUZ8X,Members-only offer,02-10-2024,06-11-2024,0.5
0IUR4DAK,Weekend promotion,15-09-2020,08-11-2020,0.2
FLTE9F0Z,Weekend promotion,07-09-2022,11-09-2022,0.7
LL8368GW,Buy One Get One,17-01-2022,22-02-2022,0.5
0GJVBQQ2,Members-only offer,08-05-2023,12-05-2023,0.6
NM61M8PJ,Flash sale items,10-03-2023,17-03-2023,0.7
IRKI6P1Q,Limited-time deal,11-02-2025,23-02-2025,0.8
5IOURBQF,Free shipping offer,23-04-2022,10-05-2022,0.7
11MDOGCR,Seasonal special,28-03-2024,06-05-2024,0.4
LR09T6L0,Members-only offer,22-10-2022,24-10-2022,0.5
PYO2DZ3E,Flash sale items,07-05-2021,29-06-2021,0.4
JLRCUR9R,Members-only offer,18-06-2023,16-08-2023,0.1
DD81TBP8,Friend referral bonus,23-03-2024,09-04-2024,0.1
RUQ81J6D,Buy One Get One,27-05-2023,24-06-2023,0.3
5EIQ57UD,Weekend promotion,03-02-2021,16-02-2021,0.5
7OILSGVC,Buy One Get One,31-10-2023,07-11-2023,0.7
AUHETJEV,Seasonal special,05-12-2021,10-01-2022,0.2
KNFRJVDF,First-order discount,27-06-2024,03-08-2024,0.8
82VHN71A,Members-only offer,14-09-2021,13-10-2021,0.1
J5N855GB,First-order discount,03-01-2022,27-01-2022,0.5
QNYOKM8B,Weekend promotion,16-12-2023,05-02-2024,0.8
I4PSM9K3,Flash sale items,16-03-2023,07-04-2023,0.4
4D2M5CR6,Clearance blowout,17-06-2022,28-06-2022,0.5
0O4YU5JV,Friend referral bonus,24-03-2021,22-05-2021,0.5
BROB2QIA,Clearance blowout,06-02-2022,14-02-2022,0.4
JCXEILX1,Buy One Get One,02-09-2024,26-10-2024,0.4
DVUEXI1C,Seasonal special,19-09-2021,22-10-2021,0.2
ESHKCX4W,Free shipping offer,14-10-2022,17-10-2022,0.7
N24NF7SI,Limited-time deal,14-10-2023,19-11-2023,0.6
D2ASPFW8,Weekend promotion,26-04-2022,26-05-2022,0.7
O7HD6LKV,Weekend promotion,22-08-2022,13-10-2022,0.5
PPU3CX8B,Friend referral bonus,26-01-2024,04-02-2024,0.2
LZI9M1UA,Weekend promotion,17-08-2023,29-09-2023,0.7
YWMM7IOO,Flash sale items,28-09-2023,22-10-2023,0.7
KO149VM4,First-order discount,21-03-2025,13-04-2025,0.5
YEFO2EVA,Weekend promotion,06-07-2024,27-08-2024,0.1
IY9BW7EC,Seasonal special,15-05-2021,31-05-2021,0.4
P9CD7YSQ,Flash sale items,22-07-2024,18-09-2024,0.4
7DSIHKFG,Clearance blowout,31-08-2024,16-10-2024,0.4
5S3C9ICQ,Friend referral bonus,21-08-2023,13-09-2023,0.4
3N3UFPG4,Weekend promotion,16-08-2021,04-09-2021,0.2
IZ1PVOYI,First-order discount,31-01-2022,22-03-2022,0.6
Y7OG2AE0,Friend referral bonus,05-06-2021,27-07-2021,0.7
RDFAEHZF,Flash sale items,09-05-2023,12-05-2023,0.6
YKM9PWSA,Friend referral bonus,26-07-2023,28-07-2023,0.2
I8K0KJ43,Members-only offer,07-06-2020,19-07-2020,0.4
VKOAGS9Y,Clearance blowout,20-05-2023,07-07-2023,0.2
6NGFMXUK,Members-only offer,10-10-2023,26-10-2023,0.6
W5AR2U3B,Free shipping offer,28-03-2023,08-04-2023,0.2
7G7F4ZTU,Weekend promotion,12-12-2024,30-01-2025,0.3
BMNXUIBK,Weekend promotion,17-12-2021,09-02-2022,0.6
YGBK2854,First-order discount,15-07-2022,04-08-2022,0.3
83YQJFXQ,Flash sale items,19-06-2024,18-08-2024,0.4
NXS50MXG,Free shipping offer,22-04-2022,28-04-2022,0.4
I52CL16T,Seasonal special,04-02-2023,28-03-2023,0.7
YXSKV1GN,Clearance blowout,01-03-2022,04-03-2022,0.7
E86VHW1H,Seasonal special,02-07-2022,13-07-2022,0.7
EB5Y2Y94,Members-only offer,11-05-2020,17-05-2020,0.2
SYQVSFCO,Members-only offer,01-12-2020,11-12-2020,0.8
0272GPEO,Free shipping offer,08-02-2025,08-03-2025,0.3
17YEUPJE,Members-only offer,18-01-2023,28-02-2023,0.7
6GKIGP0S,Flash sale items,19-03-2021,29-03-2021,0.5
0BOYUKTH,Friend referral bonus,30-10-2022,12-11-2022,0.4
6FTGWOP9,Friend referral bonus,06-08-2024,21-09-2024,0.2
I8L9E1OC,Clearance blowout,15-11-2022,07-12-2022,0.2
5FYP2DMK,Buy One Get One,31-12-2021,01-02-2022,0.7
LCXLFP3Q,Clearance blowout,01-09-2023,16-09-2023,0.6
9VRQTKT8,Flash sale items,05-10-2022,27-11-2022,0.8
V3LNJ02S,Members-only offer,29-03-2024,27-04-2024,0.8
GBVPTIAI,Friend referral bonus,19-11-2022,04-12-2022,0.2
I2ZLLVX8,Weekend promotion,16-12-2022,21-01-2023,0.7
083MXORI,Clearance blowout,13-04-2024,15-04-2024,0.7
DBM1XCNL,Seasonal special,05-01-2023,27-01-2023,0.7
TXSORJB7,Friend referral bonus,24-07-2023,05-08-2023,0.4
KLW7NXAM,Seasonal special,08-07-2022,25-07-2022,0.5
RM3F14Y6,Members-only offer,17-07-2022,05-09-2022,0.4
BWXWMYB2,Weekend promotion,21-07-2022,04-09-2022,0.6
PY7TON9D,Limited-time deal,01-04-2025,15-05-2025,0.2
6BJMVNRM,Members-only offer,10-02-2023,02-04-2023,0.7
0NYFF8BB,Flash sale items,09-02-2023,28-03-2023,0.2
E1HTK13W,Friend referral bonus,15-12-2021,23-12-2021,0.4
DXUQRKWX,Flash sale items,22-11-2021,17-01-2022,0.4
CJGC3IRX,Weekend promotion,24-05-2022,18-07-2022,0.6
GTVDRQ4F,Seasonal special,14-08-2022,11-10-2022,0.4
6JH83EWV,Free shipping offer,10-04-2021,02-05-2021,0.7
J5P81Y1U,Weekend promotion,07-08-2023,23-09-2023,0.3
37CMSOZR,Weekend promotion,23-10-2023,01-12-2023,0.6
B5SG4CVF,Flash sale items,28-05-2020,26-07-2020,0.5
0PWCSWIP,Weekend promotion,30-01-2025,09-03-2025,0.5
DOKC51PL,Buy One Get One,07-05-2020,03-06-2020,0.1
815UT85G,Members-only offer,11-08-2021,14-09-2021,0.2
EVQ9836X,Members-only offer,16-05-2022,10-07-2022,0.5
M3O0GKO8,Seasonal special,06-10-2023,07-11-2023,0.3
VAG8J6T3,Friend referral bonus,21-12-2023,25-01-2024,0.7
VMCAA2Y0,Friend referral bonus,03-07-2024,10-08-2024,0.3
4AZPNKIV,Weekend promotion,19-10-2024,24-10-2024,0.3
RPF1OR0F,Limited-time deal,24-04-2020,17-05-2020,0.7
KIPCI7QI,Clearance blowout,03-07-2024,30-08-2024,0.2
TS22BUUF,Members-only offer,28-06-2022,12-08-2022,0.5
NUN625XC,Friend referral bonus,20-01-2023,15-02-2023,0.3
RQIYSGDD,Seasonal special,11-05-2020,02-06-2020,0.5
FMDW9UDQ,Members-only offer,14-03-2025,04-05-2025,0.7
2K73B7CK,Clearance blowout,25-03-2021,22-04-2021,0.2
4WU41G1V,Seasonal special,27-08-2023,22-10-2023,0.5
84B59RLI,Clearance blowout,04-01-2024,17-02-2024,0.7
QI5TEE7B,Weekend promotion,29-05-2023,19-06-2023,0.6
3IWODHOV,First-order discount,08-02-2022,23-02-2022,0.8
LXQ1H4J8,Clearance blowout,10-02-2025,16-02-2025,0.6
FZBW0WO5,Flash sale items,20-10-2021,24-10-2021,0.2
7IXU1ZY4,Seasonal special,05-12-2020,12-12-2020,0.1
TPLCPT7Z,Buy One Get One,03-12-2024,20-12-2024,0.2
YRKE6O70,Free shipping offer,27-09-2022,16-11-2022,0.3
FJPRU6X4,Friend referral bonus,07-09-2021,13-10-2021,0.7
Z8T1Q9L8,Weekend promotion,05-06-2022,26-07-2022,0.3
ZZFQOYHS,Members-only offer,19-01-2025,03-02-2025,0.3
89OZ2ELU,Friend referral bonus,03-05-2024,04-06-2024,0.2
W2VCDNRE,Friend referral bonus,28-04-2020,25-06-2020,0.4
